"Frecuencia,""Transaccionalidad"",""Ingresos"""
1,0.03,1900
12,2789.05,540.84
9,1589.25,807.63
25,1715.47,833.77
3,367.14,986.03
11,1845.49,0
2,173.34,4167.5
1,0.02,765
18,815.42,441.56
1,0.03,4093.33
12,1754.05,849.16
2,19.71,1650
26,4546.25,937.59
23,2018.83,831.77
15,3767.21,819.16
2,0.04,717.07
56,3970.62,849.15
31,3681.07,3700
10,1779.29,860.69
37,1395.56,692.25
19,2288.78,1022.18
11,2006.15,986.03
10,1585.56,505.89
32,1798.81,807.63
44,1883.5,833
26,3407.93,2070
6,487.05,1220
4,195.72,877.6
35,18119.32,849.15
5,297.81,158
2,169.08,5000
4,204.67,950
46,2587.83,953.51
12,1212.75,158
8,1311.27,697.72
8,1093.89,870.69
8,1247.97,819.16
7,299.24,150
6,461.91,0
2,1000.84,835
1,0.02,260
4,43.11,1511
1,0.02,1430
6,7468.56,467.3
7,476.85,1513
3,1665.08,0
13,2180.05,1822.43
19,1977.14,986.03
3,2649.32,1009
1,0.02,0
8,236.98,158
5,219.71,807.63
5,1756.14,800
16,2108.7,650.55
16,1760.7,807.63
9,1368.36,770.91
35,2366.19,1022.18
6,497.57,1309.31
23,2602.62,1010.06
1,0.26,1154
1,0.02,1054
2,19.71,1600
34,21631.86,819.16
5,2249.53,2115.21
23,34.09,2800
32,14135.05,1174.53
25,2290.13,1254.62
4,237.15,725
8,330.86,1844.53
19,1557.91,720.6
19,1459.89,819.16
1,0.03,1350
18,2054.72,833.77
12,1542.72,789.61
2,19.71,0
6,637.43,1190.37
1,0.02,2600
36,2230.74,607.94
1,0.02,1180
12,2004.96,850
2,19.73,940
20,3895.44,849.15
13,17070.92,1122.44
11,1908.41,969.12
22,2011.93,1241
30,2850.45,1022.18
17,2317.76,1200
24,8438.68,0
8,402.82,158
25,2141.52,874.53
16,1619.52,819.16
8,5182.09,120
1,0.02,610
1,0.02,1364
35,5600.31,150
8,1213.62,867.72
14,1030.24,900
8,545.13,550.84
26,2764.65,672.54
21,2332.13,10815.3
14,1890.24,860.69
7,106.67,3240
7,11581.55,12344.44
9,710.54,483
61,11272.33,860.34
3,1538.65,5298
16,2365.42,1528.24
26,517.88,150
6,52447.37,1110.61
13,1362.33,712.34
5,1383.67,1695
1,0.02,0
1,0.01,870.31
28,1871.11,807.63
1,0.11,0
14,1753.06,800
10,546.2,807.63
29,2249.32,920.67
5,808.32,920
27,1766.8,833.77
16,1912.6,150
2,551.6,1360
6,424.47,566
14,1591.2,819.16
19,1287.9,729.41
32,1965.02,885.71
4,424.56,2000
2,101.55,340
38,5243.79,0
14,1818.9,2135
11,348.86,158
49,3121.78,1022.18
13,2153.88,1216.58
12,1863.5,888
5,114.77,0
35,2815.97,789.29
5,515.81,670
3,780.3,2500
14,1533.2,632.93
24,2284.97,1212.64
28,1863.32,807.63
1,0.02,3200
1,0.02,160
23,4145.53,1119.12
11,1925.58,1119.12
11,558.25,150
7,438.32,937.59
11,1254.57,1370
2,19.71,1070.62
2,19.71,150
17,495.46,180
7,355.51,1022.18
24,4254.56,718.18
1,0.02,970
3,553.58,379.01
2,353.76,845
10,133.78,150
4,16019.71,807.37
2,1.41,150
73,38438.38,1926.72
13,7114.84,738.41
5,257.98,1003.72
2,19.71,696.38
19,8282.1,882.92
15,2018.75,920.67
1,0.03,0
5,706.07,960
4,43.12,600
10,1415.28,819.16
3,1503.01,916.23
1,0.02,3040
35,5848.53,860.69
6,288.35,1143
14,1697.39,849
28,2278.32,1167.87
3,342.69,278
27,1870.99,1580.69
13,2653.16,708.81
1,0.02,1480
31,2506.95,497.56
17,1628.77,819.16
25,2692.36,160
3,29.8,0
2,19.71,0
29,4440.89,1694
2,0.04,1020
11,1771.03,0
12,1710.18,813.87
2,1.39,0
22,8830.96,750
13,614.54,100
7,1317.05,888.37
1,0.02,1600
11,1850.43,937.59
34,10124.93,1210.29
6,577.48,1982
18,2117.85,721.19
15,1691.16,837.63
16,2050.73,933.15
29,2838.04,1700
33,4924.09,860.69
1,0.02,1400
6,425.22,600
15,381.06,1492
1,0.03,669.78
16,1865.87,833.77
28,2747.4,807.63
40,2809.94,849.15
29,2412.02,1139
1,0.02,100
8,1379.33,819
8,1327.11,1946.24
12,48262.23,2077.12
17,4246.56,2666.52
56,4165.39,598.04
2,0.04,103070
10,16740.62,1335
11,1959.12,1090.62
60,2665.96,849
5,1036.28,709.03
10,917.54,634.06
9,2614.75,1589.01
5,938.09,535.45
2,19.71,0
13,2231.12,948
8,1684.27,1111.28
17,2025.67,954.51
10,1171.54,819.16
2,171.56,0
1,0.02,0
22,4216.76,0
65,2254.76,819.16
1,0.02,1150
26,3884.85,874
34,1751.55,1002.57
43,4488.51,913.2
16,1222.12,547.73
1,0.01,820
14,1715.71,917.06
16,1908.82,736.15
16,3093.1,1620
21,2129.85,733.8
22,2586.82,807.63
5,250.71,150
2,1.02,100
11,28246.82,1567.1
9,1434.19,860.69
2,19.71,150
17,2732.59,1285.6
33,3738.51,1161.96
26,3596.97,1949.59
22,25811.41,1289
27,2377.81,761.7
19,1207.2,2090
20,2026.86,0
5,1009.23,10000
1,0.02,0
2,19.71,150
7,187.04,649
17,2779.99,1028.95
11,2410.84,1600
37,5000.25,1234.42
4,120019.71,0
12,3354.02,0
4,161.43,870
15,2506.42,1003.72
18,4101.96,1032
2,0.04,1522
7,1344.38,1024.36
20,1674.08,849.15
10,5711.16,150
11,1841.71,1022.18
10,768.84,760
20,2988.07,832.56
1,0.02,850
18,2602.2,3542
6,1100.91,0
15,1614.05,1840
51,1647.62,807.63
2,0.08,703
13,2022.74,937.59
16,1696.72,874.48
20,3446.39,807.63
4,268.09,590
22,535.76,568.87
17,32338.67,919.38
4,72.89,0
23,3616.05,807.63
3,358.87,559.06
36,2318.95,856.84
11,2129.38,1125.63
10,1414.56,2418.47
5,1230.43,649.04
25,2113.05,150
3,764.37,1400
35,1083.16,1373.66
6,241.5,158
94,7284.21,1481.62
13,1528.88,632.68
17,6048.33,7700
56,7791.02,2451.01
12,1883.59,954.51
42,3704.67,669.27
14,24648.19,340
12,936.74,1100
5,2.07,900
2,19.71,954.51
12,1888.22,951.13
17,1767.34,1492.93
36,1614.65,1003.63
25,2026,863.66
32,3196.6,750
7,742.56,937.59
35,1976.51,666.08
14,1521.33,1100
47,1759.63,732
2,19.71,1075
5,176.92,1200
3,802.7,4280
3,50.14,1332.34
11,1671.44,807.63
5,193.48,1200
25,337.09,168
7,1276.8,700
16,11031.7,564.88
6,794.75,3400
19,1589.1,870.67
14,1497.2,819.16
2,29.16,5850
22,983.33,904.48
29,2270.71,865.3
10,1984.33,1050
10,50391.11,1470
17,2055.98,757.51
14,2691.52,1366.03
20,1955.7,954
17,1490.89,833.77
2,20,761
66,3806.19,819.16
17,1435.83,804.63
18,4034.74,1234.42
7,439.57,200
26,2855.77,964.25
15,2117.79,0
39,2407.91,1200
39,31223.71,1477
32,76578.84,1986.63
19,1479.42,807.63
29,3073.24,937.59
16,1858.97,833.77
22,11998.86,849.15
4,1842.6,792.05
3,351.46,2000
55,3630.37,1186.85
16,4309.38,860.69
23,1860.97,730.28
38,1559.66,937.59
22,3114.86,2574.72
108,10438.11,2946.53
13,1350.13,686.02
11,1957.29,860.69
14,548.16,807.63
21,2269.47,874.53
37,2973.62,722.97
8,187.93,888
37,11787.84,825
38,1731.41,860.69
34,7017.29,812
19,2634.29,819.16
44,1552.66,806.55
19,1704.62,849.15
13,3980.11,1635.74
2,24.75,1022
8,3352.75,1005.05
15,623.13,807.63
4,92.11,0
16,2044.46,1022.18
15,2241.45,1303.72
10,1194.98,800
2,1.02,2500
23,1655.26,879.14
20,1541.63,702.87
7,1440.46,819
5,46.86,0
27,7515.41,672.92
1,0.02,5600
6,756.96,596.75
13,320.33,2400
2,19.72,0
7,1549.19,0
1,0.02,800
21,3951.12,1003.72
1,0.46,0
15,1969.86,849.15
15,3099.15,1994.84
6,1415.44,1140
15,6508.93,2811.5
3,3.45,0
38,1876.77,886.88
3,21.88,1003.72
4,100.35,1003.72
32,5006.75,1465.66
12,1998.01,588.9
1,0.02,0
24,6050.31,1080.35
1,0.02,1450
8,1500.17,819.16
21,2572.64,1083.79
14,1530.64,1400
28,2454.26,969.12
6,1529.3,929
24,1811.25,770.51
7,1910.07,874.53
4,890.98,445.02
1,0.02,833.77
41,2775.29,1319.75
2,1.03,800
25,3859.59,1040
26,1726.17,198
6,2082.02,0
23,2617.52,1040
11,1523.69,819.16
3,96.53,800
23,2107.67,969.12
7,805.93,1513.11
19,2235.69,920.67
41,5907.24,1300
32,2842.59,466.83
18,2025.37,874.53
15,250.63,150
3,669.89,1498.97
2,19.71,150
21,1907.18,819.16
14,748.82,523.26
16,1681.36,987.84
1,0.31,1903.84
28,2324.88,819.16
2,19.71,0
13,1542.23,160
12,1538.74,670.22
36,3414.29,937.59
32,1520.03,2800
22,1467.03,819.16
7,121.55,948.91
34,3223.67,1650.63
34,750.53,627.62
18,2068.03,1363.14
8,379.85,150
8,1619.92,807.63
13,3279.24,158
2,10.62,919
18,1488.1,807.63
1,0.02,1456
5,1390.04,703.33
35,2572.63,926.63
1,0.02,3440
20,11966.27,687.53
6,2344.44,1277
13,639.35,327.84
22,2739.6,969.12
4,141.7,1700
19,1661.08,864
4,973.54,1203.21
2,19.71,0
16,676.69,954.51
4,284.47,0
11,1809.7,1090
11,3754.81,1623.54
7,201.46,1374.66
40,1930.23,1100
1,0.62,2327.73
17,2482.97,0
31,3180.7,819.16
4,2.64,3300
4,203.43,1009.61
34,3736.38,819.16
29,2553.04,937.59
25,52855.51,1050
6,143.23,0
12,2523.8,860
19,1956.75,937.59
17,1695.76,849.15
37,1745.9,849.15
27,2305.21,833.77
11,239.61,150
48,11523.97,807.63
13,2938.12,1103.95
6,258.53,258
19,2093.48,849.15
41,9695.36,642.4
29,7591.7,2086
20,2047.06,888
56,6808.07,2900
18,2259.29,1090
25,1240.44,650
1,0.02,380
9,471.69,1384
1,0.02,900
12,456.02,964.25
2,20.08,6166
26,4600.06,1628.76
41,7256.04,849.15
15,3388.32,0
14,2736.26,0
23,1621.94,160
11,2010.68,680
13,1340.34,150
11,2074.74,1200
15,1878.19,150
14,356.78,0
11,1025.81,0
3,201.06,1500
7,193.69,807.53
3,178.63,178
11,745.4,0
4,789.38,2200
1,0.02,250
6,1465.05,426.25
3,254.88,1380
16,450.94,318
1,0.31,450
23,2144.54,721.53
16,1305.76,929
20,1641.16,687.53
12,3803.84,986.03
6,290.27,180
15,1529.46,769.85
10,749.13,158
7,2254.26,996.19
1,0.03,0
25,359.34,178
10,514.51,1153
23,2251.71,954.51
12,1904.23,864
60,17171.03,1630.57
40,3837.93,954.51
1,0.31,600
10,1753.8,1099.72
10,2312.13,905.62
19,1657.9,2569
21,2644.76,819.16
33,1717.51,860.69
13,2446.6,1169
50,2610.33,819.16
2,318.42,315
22,1227.75,456
25,2919.27,2580
15,1866.37,819.16
2,19.71,150
49,8338.92,2295.52
1,0.02,1289
9,2239.15,3787.37
16,1769.04,150
2,307.86,303.16
28,2620.58,0
21,5439.77,860.69
6,1162.56,2094
11,1928.5,834.71
2,19.71,350
13,2253.36,160
17,5643.72,860.69
11,2337.46,1303.95
3,2824.26,945.06
8,8604.8,1783.22
1,0.02,1106
12,2260.33,0
23,4423.97,973.56
9,1384.31,1300
31,566.82,258
3,158.09,158
2,0.04,600
12,2326.91,798.93
6,295.19,150
8,2174.38,1867.5
16,4022.02,1125.01
1,0.02,0
20,1896.44,1003.72
1,0.05,1750
6,962.34,690
2,280.42,0
11,367.72,150
19,3347.96,1022.18
1,0.02,1036000
9,452.79,980.52
20,2086.14,800
18,1286.52,657.97
8,259.93,150
1,0.02,0
18,2487.29,1420
18,20736.88,1035.5
9,1251.46,1200
1,0.02,400
1,0.02,1000
2,19.71,0
8,253.51,150
30,1707.23,2723
42,8030.33,1546.95
1,0.02,440
1,0.02,1160
3,124.79,930
8,524.77,1403.43
3,476.36,739.27
4,181.11,178
29,1961.1,819.16
9,1612.4,1417
10,289.97,150
10,433.51,158
15,11218.23,2009.37
1,0.02,3538.27
5,4656.42,1465.1
25,2035.06,986.03
1,0.02,1200
25,4950.66,860.69
8,1578.75,158
10,946.46,960
25,1802.88,986.03
21,1534.29,819.16
18,3095.07,769.05
28,5597.82,653.73
6,282.17,150
16,1642.99,888.08
11,1143.86,1108.61
14,1479.52,1183.35
1,0.05,660
22,20674.07,924.69
1,0.02,0
25,1974.43,874.53
19,3700.02,807.63
21,2224.59,954.51
3,800.08,366
10,1291.31,807
18,1990.13,1322.18
35,4208.64,819.16
10,166303.85,3715.11
12,3160.98,1994
2,10002.8,618
19,1970.13,849.15
6,255.94,894.83
6,293.96,0
52,16709.75,1521
13,3097.36,1022.18
20,1640.68,886.01
22,2394.61,683
10,1632.59,1270
7,162.35,158
1,0.02,1337
28,1651.8,1150
1,0.03,0
6,955.64,538.25
2,19.71,0
41,4108.98,1941.7
8,279.51,800
15,367.03,158
16,567.89,986.03
18,3445.27,1250
21,1473.12,819.16
5,77.51,1480
34,3412.79,1133.97
37,3258.08,1340.08
2,19.71,100
6,16507.44,2750
16,1692.98,920.67
6,175.52,475.67
9,4075.54,553.17
22,2714.19,1690.67
17,3526.5,1172
16,3554.28,819.16
6,1250.14,699.37
22,3927.3,757.66
7,279.31,150
5,608.93,544.81
2,19.75,764.62
8,265.4,920.67
42,1941.58,720
19,3625.7,807.63
4,42.87,0
2,235.35,261.22
19,2098.98,1153.86
3,221.32,1646.47
25,2478.49,937.59
1,0.02,500
5,42.85,1544.33
14,684.95,800
7,2756.81,1400
20,1843.63,1044.79
1,0.31,360
1,0.02,1018.31
15,3597.93,1098.79
31,2075.73,937.59
4,422.65,561
7,1181.14,929.41
3,43.11,620
29,3913.82,833
15,1884.57,809.63
60,9244.44,2460
3,178.62,178
21,1227.42,815.32
18,2341.28,807.63
13,788.91,658.35
14,1940.8,1003.72
1,0.02,0
3,52.21,0
10,2436.07,1367.07
15,3172.98,1100
9,2030.76,1022.18
1,0.02,0
5,1664.45,1482.04
32,2085.84,883.72
34,98942.67,768.9
20,2233.22,807.63
2,562.84,0
17,1839.43,0
38,6077.37,150
9,1467.29,776.7
44,4606.23,120
26,4382.06,150
25,5628.48,6400
38,2265.04,701.77
5,170.56,150
5,1361.83,1310.02
1,0.02,0
18,1790.14,870
33,7786.12,860.69
1,0.02,1400
32,4258.71,1945.91
1,0.31,875
20,4213.28,1634.04
45,4510.4,860.69
22,4086.56,150
15,1534.15,819.16
36,36498.23,1471.4
1,0.02,2400
22,1506.68,819.16
25,3644.5,500
19,2556.18,1214.43
23,2227.34,1465.95
31,672.54,463.41
14,433.23,178
5,408.88,450
10,5398.91,1602
8,909.43,1468.06
35,3577.39,1514.73
7,238.28,1908.34
42,1916.02,828.93
29,2426.07,969.12
1,0.01,0
18,8536.92,864.76
10,344.09,807.63
25,1536.16,811.47
38,2972.87,1003.72
5,338.29,1616.12
28,2462.66,598
2,5000.96,1100
65,15962.77,1400.68
4,70.07,937
2,19.72,0
20,2660.56,937.59
43,3545.67,900
5,1385.53,860.69
5,1206.04,700
4,158.16,150
4,18062.05,859
39,7056.91,941.85
8,1287.76,819.16
1,0.06,0
1,0.02,3900
5,11.73,2700
8,1575.29,735.52
12,1987.05,560
1,0.03,0
2,24.77,2250
19,7542.61,819
8,1565.6,919.16
9,390.37,0
10,2591.99,759.91
2,0.04,0
30,5879.06,208
11,1972.13,5278.91
25,1402.88,0
3,0.56,1734
19,2047.49,0
2,19.71,0
20,3741.26,849.15
13,2206.76,1040.36
5,176.63,1178.99
4,2869.31,750
12,1831.65,968.44
3,129.82,782.38
2,1.02,366
29,2777.3,1280
11,3993.52,1958.1
20,2189.95,758.15
4,52806.76,3210.41
1,0.02,723.45
30,1494.49,833.77
63,5039.64,2120.33
4,44.09,0
2,19.71,0
7,2241.85,1600
39,4713.8,990
32,7303.13,1076.63
5,508.06,490
18,2234.03,849
2,19.71,0
5,4070.09,1939.93
20,2830.67,1022.18
5,390.52,1482.04
18,1709.44,441.71
1,4.96,2284
10,2159.71,1514.66
1,0.02,750
16,3963.55,738.98
3,113.49,0
26,2679.54,849
7,658.43,1600
2,1.04,150
4,206.28,641.86
13,404.33,2665
30,4035.73,819.12
6,279.57,849.15
14,2093.97,807.63
1,0.02,1000
3,1239.39,1300
1,0.02,0
8,1125.98,581.88
10,2152.05,1600
20,1192.04,912.59
9,1873.77,3050
2,20.94,762
29,2058.66,974
22,3101.8,1522.85
1,0.02,600
10,893.19,669.63
6,299.84,1515.63
19,3457.01,1724.58
12,297.26,150
13,2428.78,1827
1,0.02,539.74
22,3.43,800
17,3896.89,860.69
7,110582.1,1399.05
10,1930.53,1460
13,1532.86,920.67
26,9954.83,868.29
6,868.62,1790
24,2649.54,1445.13
7,1546.41,904
34,6435.17,2548.31
1,0.02,1000
2,0.08,180
6,182.81,358
61,6247.4,2618
12,2854.63,1591.51
9,298.95,180
6,598.84,980.22
1,0.02,814
12,1561.49,849.15
13,3914.33,663.89
1,0.02,100
37,4519.59,1269.63
5,2495.93,1135.36
10,3117.41,1110
3,196.22,800
10,829.31,180
2,19.71,0
16,1871.93,1003.72
8,1325.93,820
7,255.37,158
4,1001.34,1772
16,3787.79,0
15,1218.52,546.15
2,30,0
10,3412.68,1021
13,1765.95,860.69
14,1813.84,860.69
24,2976.54,1131
5,1502.18,1450
11,2407.98,849
16,1336.26,879.41
18,1621.21,936
30,2874.97,986.03
17,1701.24,937.59
14,2011.54,833.77
1,0.02,158
8,265.74,1950.42
28,1479.99,807
25,4368.29,1222.5
10,283.28,150
16,1576.45,699
10,4838.07,969
14,2041.77,1022.18
50,12674.55,807
12,2257.17,1003.72
12,5006.91,1200
14,2460.02,1212.64
1,0.42,228
5,86.3,837.96
4,219.61,150
12,3226.29,650
24,8637.46,860.69
2,19.77,819.16
2,20,0
8,2186.31,1339.35
26,1669.59,719.7
9,380.27,430
4,297.93,158
33,2041.97,969.12
2,0.04,690
10,10054.49,511
6,2709.75,0
14,2282.28,1490.62
10,7347.17,716.12
7,979.04,714.56
1,0.06,0
1,0.02,1400
7,1453.49,785.99
13,3672.52,833
22,4335.42,3472.4
10,302.2,158
5,5916.78,0
1,4.65,1927.08
1,0.02,1687
8,1833.63,2317.91
4,473.9,1026
14,2129.6,929.41
5,662.18,2000
8,210.03,1477.43
26,2390.51,1214
70,2362.1,807.63
20,3345.45,1444.64
1,0.03,0
23,2526.8,1280.56
35,1520.61,200
49,3948.14,1209.64
1,0.02,1677.76
28,1106.16,860.69
15,1456.36,0
52,4838.42,1474.18
5,267.69,1003.72
1,0.02,1300
64,7336.14,3553
12,3801.95,549.34
15,1404.44,0
14,2589.3,940.65
8,1537.44,819.16
3,3008.91,800
18,1778.43,819.16
13,1727.59,914
22,1420.71,857.63
27,3208.6,819.16
22,2377.1,1126.59
3,157.81,158
6,2857.69,922
4,252.98,1456.71
10,1324.3,849.15
40,920.52,807.63
26,2168.2,828.28
4,2519.76,740
8,251.27,1441.49
2,500.53,400
22,3039.69,1544.16
1,0.02,400
1,0.02,0
26,2984.54,1214.43
19,2069.6,800
6,1194.1,550
17,1620.31,792.18
17,1777.02,749.61
2,0.04,800
1,0.16,0
10,290.49,158
16,1688.47,807.63
13,1707.35,860.69
13,2497.49,0
4,167.91,430
4,172.81,158
4,1409.99,158
9,1481.96,2055.45
1,0.02,0
2,829.95,800
8,231.04,180
1,0.02,200
19,1754.39,819.16
36,3653.31,1022.18
21,2649.97,1060.91
12,1538.45,160
20,1666.91,158
16,2143.42,986.03
11,2659.54,954
22,2270.76,0
9,1101.66,711.05
31,4922.5,719.64
11,2122.17,1100
47,25356.63,937.59
37,3167.67,860
20,4762.05,1675.66
2,19.71,860.69
15,2485.02,1280.56
5,230.31,1022
15,2315.55,0
37,2121.15,668.19
1,0.02,150
15,1203.87,609.12
27,3793.49,158
18,2175.94,947.62
35,3054.85,1200
1,0.03,2540
23,125.97,656.44
22,577.24,158
11,283.87,178
12,361.22,158
4,210.87,870
19,3058.93,3006.82
2,262.68,819
30,1948,929
14,1388.3,851
8,2522.69,1532.58
1,0.02,2010
20,2422.26,3039.39
2,260.88,897.82
8,552.44,646
40,5167.11,847.15
1,0.01,0
18,1771.49,913.29
21,7344.24,1022.18
1,0.02,700
17,1753.29,1170
6,247.24,150
13,1493.58,807
3,20.27,0
14,1657.1,819.16
36,2235.2,954.51
9,859.25,0
27,1933.09,1003.72
2,19.72,853.14
30,6681.81,833.77
7,4867.32,3808.63
18,2057.17,717.05
1,0.02,1062.07
4,202.02,1003.72
7,501.27,937.59
3,303.03,800
1,0.15,1015
44,1110.39,541.18
62,6364.44,901
21,336.9,0
44,1596.26,780
4,267.4,602
25,1659.99,150
12,3831.9,100
30,2061.36,800
4,382.17,332.65
6,369.9,1691.15
22,4073.81,807.63
4,177.81,150
5,61.07,629.04
45,2241.7,860.69
22,2583.21,1068.48
29,2073.35,903.75
1,0.03,0
13,1660.03,667
36,18040.28,1022
3,157.81,150
11,301.2,0
1,0.02,0
16,1962.15,2120
19,6038.86,1710.69
14,2321.25,1110.61
27,1498.05,819.16
20,1520.86,1003.72
23,1717.05,717.42
2,131.01,700
14,1619.02,807.63
15,2202.34,1428
6,1062.57,534.86
14,394.3,807.63
2,0.04,853.63
8,1689.29,969.12
12,676.08,457
5,167.8,158
17,3996.46,2036.2
1,1.67,450
16,4524.86,807.63
5,72.02,0
1,0.02,999
22,4383.31,1022.18
51,2551.59,807.63
37,4968.78,860.69
1,0.12,770
9,5080.91,700
3,93.41,800
9,20073.86,1234.42
3,819.81,1130
4,158.15,150
5,247.56,150
14,1232.72,744.51
8,1669.05,0
2,18.93,150
4,100084.17,1000
2,19.71,1680
3,72.17,740
4,286.21,850
27,2319.39,860.69
18,1668.42,150
4,367.71,969.12
19,3447.84,958.78
20,2060.83,2200
14,2790.65,847
7,580.41,923.3
12,3545.71,0
11,1409.62,665.84
32,1963.18,819.16
29,2135.95,1125.63
16,2427.05,924
1,0.03,0
17,1484.09,822.18
10,1259.68,0
8,1441.22,2297.3
10,786.87,745.83
3,179.52,150
1,0.02,150
22,1763.71,1039.97
2,20,0
3,3.16,6780
3,340.47,2085
38,2280.64,871.19
16,2138.86,883.75
8,1202.56,6300.8
7,1612.47,977.63
10,88680.38,2220
20,1637.01,849.15
16,1502.39,1300
12,2251.24,960
9,761.49,2187
18,1737.04,874.53
28,1650.79,789.1
8,388.52,150
3,20.48,1226
2,4.31,1300
6,164.18,158
16,2406.57,954.51
5,9903.44,1169
2,80.77,1933.45
3,731.9,1090
8,1120.91,1959.34
13,3359.77,1113.61
9,2136.35,150
6,62.07,900
7,264.69,807
4,330.01,920
2,2.55,0
3,0.09,685.06
1,0.01,2200
77,5988.53,1106.13
3,449.8,1900
28,2692.29,0
3,157.8,158
18,2205.69,898
10,1007.43,156
7,1359.03,1570
1,0.02,1492
16,1968.63,900
10,292.27,807
27,3903.16,1957.61
26,2697.34,1003
1,0.02,1900
4,256.55,150
13,1752.56,937
13,1426.99,819
13,3042.43,664.66
16,2024.72,937.59
10,645.3,2320.71
53,9442.08,819.16
3,3.45,1270
4,1.49,980
1,0.03,0
2,19.71,1022.18
18,4185.93,833
7,1973.43,1105
18,10141.99,807.63
8,76.48,2539.39
4,234.09,800
4,174.9,0
12,2712.79,956.78
15,2651.7,969.12
8,1156.08,1022.18
8,836.72,469.2
15,1738.94,874.53
39,24498.29,819.16
46,2337.18,1068.64
2,220.2,1500
27,1982.08,819.16
1,0.7,950
7,318.15,150
12,1917.97,807.63
1,0.02,801.39
31,6095.47,772.42
5,2890.06,0
7,292.32,150
30,2862.52,1606.97
3,60.71,0
24,3566.7,600
10,297.75,150
5,174.96,807.63
8,283.51,2310
7,1561.16,804.63
11,1854.69,849.15
45,3228,710.82
15,9920.7,620
20,2355.04,1090.62
6,346.03,608.52
3,11.44,50
1,0.02,0
22,2282.52,1110
31,8383.26,909.47
16,1974.96,929
10,1381.49,849.15
36,3226.45,701.69
2,0.15,1600
9,2057.34,600
2,0.04,0
46,2904.83,1200
13,7160.64,258
4,236.24,155
9,285.9,807
21,1373.66,156
4,589.7,493.22
5,5832.72,450
6,1020.71,787
3,157.82,158
34,15927.56,937.59
14,1433.02,555
42,1226.22,158
3,327.41,369.02
15,1688.65,856.11
1,0.02,800
23,2255.44,1003.72
23,2412.89,1570.62
10,1815.27,1220
21,5036.03,919.12
